# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4043.1000 F2490 282767 3 1553.1000 wm118 c49 274 N wm118->c58->w65->c49
4058.2000 F2697 117874 5 1361.2000 pm109 c36 277 N pm109->p7->c34->w85->t99->c36
4069.8000 F2707 492811 2 1362.8000 cm117 c57 277 N cm117->w89->c57
4085.8000 F3888 379726 1 197.8000 cm116 p5 296 N cm116->p5
4086.7000 F2747 316704 4 1339.7000 wm122 c43 277 N wm122->w81->c57->w86->c43
4087.9000 F3879 299510 2 208.9000 wm122 w86 296 N wm122->c43->w86
4094.4000 F792 120448 4 3302.4000 wm118 c36 244 N wm118->c46->p7->cm111->c36
4099.7000 F1052 147120 4 3047.7000 wm121 c39 249 N wm121->cm116->w83->c57->c39
4115.3000 F3708 356897 2 407.3000 cm117 t99 293 N cm117->p10->t99
4127.0000 F3176 128655 2 951.0000 pm109 c36 284 N pm109->c60->c36
4130.1000 F2103 258291 4 2027.1000 pm108 cm113 266 N pm108->c52->w69->w95->cm113
4131.1000 F2415 345468 3 1716.1000 pm109 t97 271 N pm109->p7->c42->t97
4172.0000 F4044 251788 1 128.0000 wm119 c61 297 N wm119->c61
4186.2000 F481 301693 4 3705.2000 wm122 p19 238 N wm122->p2->w76->c32->p19
4190.9000 F2223 257806 4 1967.9000 wm122 w69 267 N wm122->p12->c41->cm113->w69
4201.0000 F411 414123 4 3790.0000 cm115 cm113 236 N cm115->w95->p0->c55->cm113
4201.1000 F1750 312416 3 2451.1000 pm104 c61 259 N pm104->c39->w69->c61
4209.7000 F917 362366 4 3292.7000 wm118 w71 245 N wm118->c46->p10->t99->w71
4225.0000 F2618 480950 4 1607.0000 cm112 c56 273 N cm112->p21->c34->p21->c56
4247.3000 F4236 233302 1 11.3000 cm117 w95 299 N cm117->w95
4261.6000 F1745 348159 2 2516.6000 wm123 p10 258 N wm123->t101->p10
4277.6000 F2653 346055 4 1624.6000 pm104 p28 272 N pm104->p24->c59->c55->p28
4288.1000 F3847 458194 3 441.1000 cm112 c40 292 N cm112->p21->c60->c40
4289.1000 F733 368414 4 3556.1000 pm106 c46 240 N pm106->cm114->t97->t96->c46
4289.5000 F2905 208559 3 1384.5000 pm108 w95 276 N pm108->c59->c55->w95
